country,power_index,total_population,gdp,defense_budget,external_debt,total_manpower,active_personnel,reserve_personnel,total_aircraft,fighter_aircraft,trainer_aircraft,special_mission_aircraft,helicopters,attack_helicopters,tanks_stock,tanks_readiness,self_propelled_artillery_stock,self_propelled_artillery_readiness,towed_artillery_stock,towed_artillery_readiness,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare
Chile,0.8704,"18,664,652","$596,556,000,000","$6,800,000,000","$235,950,000,000","8,959,033","80,000","40,000",274,45,92,18,86,0,386,251,48,31,249,162,130,0,0,0,8,0,4,40,0
China,0.0919,"1,415,043,270","$33,598,000,000,000","$303,000,000,000","$488,114,000,000","764,123,366","2,035,000","510,000","3,529","1,443",401,105,"1,007",281,"5,870","4,696","2,940","2,352","1,400","1,120",841,3,4,53,46,50,61,150,36
Colombia,0.7551,"49,588,357","$978,024,000,000","$15,800,000,000","$108,027,000,000","24,298,295","429,000","998,000",430,16,72,27,255,0,0,0,6,4,110,72,213,0,0,0,9,2,4,158,0
Croatia,1.5432,"4,150,116","$164,825,000,000","$2,744,000,000","$60,500,000,000","2,033,557","14,325","20,100",67,12,26,0,37,0,55,44,25,20,42,34,30,0,0,0,0,0,0,11,1
Cuba,1.3345,"10,966,038","$81,165,000,000","$3,301,500,000","$36,372,600,000","5,921,661","50,000","40,000",20,11,3,0,13,4,194,107,140,77,364,200,19,0,0,0,1,1,0,6,4
Czechia,1.0313,"10,837,890","$521,928,000,000","$9,174,000,000","$232,320,000,000","5,093,808","30,334","4,900",103,12,21,2,42,4,20,14,53,37,0,0,,,,,,,,,
Democratic Republic of the Congo,1.3051,"115,403,027","$164,367,000,000","$960,000,000","$7,926,000,000","39,237,029","166,580","30,800",56,0,2,0,38,9,212,117,16,9,125,69,16,0,0,0,0,0,0,16,0
Denmark,0.8198,"5,973,136","$440,558,000,000","$14,250,000,000","$611,050,000,000","2,628,180","21,000","12,000",122,26,36,3,34,0,44,33,19,14,0,0,50,0,0,0,9,0,0,9,6
Dominican Republic,2.5853,"10,815,857","$276,884,000,000","$903,000,000","$35,044,000,000","4,975,294","89,000","189,000",80,0,17,1,49,0,6,3,0,0,14,7,34,0,0,0,0,0,0,14,0
Ecuador,1.4479,"18,309,984","$252,728,000,000","$2,963,400,000","$39,658,000,000","8,422,593","41,250","118,000",99,0,34,8,43,0,202,121,5,3,106,64,30,0,0,0,2,6,2,5,0
Egypt,0.3651,"111,247,248","$1,958,000,000,000","$5,193,500,000","$117,272,000,000","45,611,372","438,500","479,000","1,088",242,344,11,348,100,"3,620","2,534","1,056",739,962,673,149,0,2,0,13,7,8,61,17
El Salvador,2.9973,"6,628,702","$73,961,000,000","$1,037,200,000","$12,668,000,000","3,181,777","25,000",0,51,0,10,0,28,0,0,0,0,0,76,49,13,0,0,0,0,0,0,8,0
Eritrea,2.6841,"6,343,956","$2,534,000,000","$219,000,000","$461,376,000","2,220,385","350,000","680,000",20,1,1,0,13,6,148,67,45,20,89,40,23,0,0,0,0,0,0,18,0
